Test Year: 2019
Total: 1199, Correct: 623, ExpRate: 51.96%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN19_1046_em_661	WRONG	H ( 4 ^ { \frac { 1 } { 3 } } - \frac { 1 } { 3 } } = 1	H _ { ( 2 ) } ^ { \frac { 2 } { 3 } - \frac { 1 } { 3 } - \frac { 1 } { 3 } } = 1
ISICal19_1206_em_838	CORRECT	c = \frac { 3 } { 2 } \sum x _ { i }	c = \frac { 3 } { 2 } \sum x _ { i }
UN19_1007_em_102	CORRECT	\frac { - 4 } { \sqrt { 3 6 0 } }	\frac { - 4 } { \sqrt { 3 6 0 } }
UN19_1008_em_117	WRONG	T ^ { a } = T ^ { x } + T ^ { y }	T ^ { a a } = T ^ { x x } + T ^ { y y }
ISICal19_1205_em_820	WRONG	- \frac { 1 } { 3 } \int x ^ { 3 }	- \frac { 1 } { 3 } \int A ^ { 3 }
UN19wb_1104_em_941	WRONG	1 + \frac { 1 } { n }	- 1 + \frac { 1 } { n }
UN19wb_1118_em_1147	CORRECT	+ 1 3 + 1 7 + 1 9	+ 1 3 + 1 7 + 1 9
UN19wb_1105_em_945	WRONG	\cos ( x ^ { m } )	\cos ( X ^ { m } )
UN19wb_1108_em_998	WRONG	y = x _ { 8 } + i x _ { 0 } }	y = x _ { 8 } + i x _ { 9 }
ISICal19_1211_em_893	CORRECT	\frac { 1 } { x } x = 1	\frac { 1 } { x } x = 1
UN19wb_1121_em_1198	WRONG	\frac { 2 \pi } { 3 } - \frac { 4 \pi } { q } = \frac { 2 \pi } { 9 }	\frac { 2 \pi } { 3 } - \frac { 4 \pi } { 9 } = \frac { 2 \pi } { 9 }
UN19_1020_em_284	CORRECT	9 + 1	9 + 1
UN19_1010_em_136	CORRECT	x ^ { 1 } \ldots x ^ { 5 }	x ^ { 1 } \ldots x ^ { 5 }
UN19wb_1112_em_1055	CORRECT	\sin y _ { 0 }	\sin y _ { 0 }
UN19wb_1105_em_954	CORRECT	R ( \theta ) = \tan ( \theta )	R ( \theta ) = \tan ( \theta )
UN19_1020_em_282	WRONG	X + u	x + u
UN19_1008_em_105	WRONG	\lim _ { 3 \rightarrow 1 } \sum 3 ^ { n }	\lim _ { z \rightarrow 1 } \sum z ^ { n }
ISICal19_1203_em_787	CORRECT	F ( x , y ) = \sin x e ^ { y }	F ( x , y ) = \sin x e ^ { y }
UN19wb_1119_em_1155	WRONG	x \frac { p ( - x ) } { ( x p ( x ) ) ^ { 2 } }	x \frac { P ( - x ) } { ( x P ( x ) ) ^ { 2 } }
UN19_1038_em_540	CORRECT	\sum _ { n } s _ { n }	\sum _ { n } s _ { n }
UN19_1001_em_7	WRONG	\sum _ { i } r _ { i } + \sum _ { i } i	\sum _ { i } r _ { i } + \sum _ { i } s _ { i }
UN19_1025_em_352	WRONG	X ^ { 3 } X ^ { 4 } X ^ { 5 }	x ^ { 3 } x ^ { 4 } x ^ { 5 }
UN19_1045_em_659	CORRECT	\int d A	\int d A
UN19_1029_em_413	CORRECT	x = x _ { a } - x _ { b }	x = x _ { a } - x _ { b }
UN19_1011_em_158	CORRECT	\int \sqrt { g } R ^ { 2 }	\int \sqrt { g } R ^ { 2 }
ISICal19_1202_em_774	WRONG	x + \pm a	x \neq \pm a
UN19_1035_em_507	CORRECT	\sum _ { i } \beta ^ { i }	\sum _ { i } \beta ^ { i }
UN19wb_1106_em_967	WRONG	6 + 8 + 1 6 + 6 + 8 + 1 0	6 + 8 + 1 6 , 6 + 6 + 8 + 1 0
UN19_1002_em_24	CORRECT	x ^ { p + 1 } \ldots x ^ { 5 }	x ^ { p + 1 } \ldots x ^ { 5 }
UN19wb_1116_em_1117	CORRECT	a t ^ { - 1 } + b t ^ { - 2 }	a t ^ { - 1 } + b t ^ { - 2 }
UN19_1003_em_41	CORRECT	3 \times 3 \times 3	3 \times 3 \times 3
UN19_1008_em_106	CORRECT	\sqrt { n a }	\sqrt { n a }
UN19wb_1119_em_1159	CORRECT	1 2 + 8 + 6 + 6 + 6	1 2 + 8 + 6 + 6 + 6
UN19wb_1111_em_1046	CORRECT	\beta = \sqrt { \frac { d - 2 } { d - 3 } }	\beta = \sqrt { \frac { d - 2 } { d - 3 } }
UN19_1001_em_9	CORRECT	[ a b ] = a b - b a	[ a b ] = a b - b a
UN19wb_1115_em_1102	WRONG	\frac { 3 } { 2 } \times \frac { 3 } { 2 }	\frac { 3 } { 2 } \times \frac 3 2
UN19wb_1111_em_1041	CORRECT	( a b ) = \frac { 1 } { 2 } ( a b + b a )	( a b ) = \frac { 1 } { 2 } ( a b + b a )
UN19_1039_em_568	CORRECT	j \geq 3	j \geq 3
UN19_1010_em_147	CORRECT	X \times X	X \times X
UN19wb_1120_em_1180	CORRECT	X = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } )	X = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } )
ISICal19_1210_em_870	WRONG	\sqrt { 1 - x } = \sum _ { n = 0 } ^ { \infty } a _ { n } x ^ { n }	\sqrt { 1 - x } = \sum _ { n = 0 } ^ { \infty } \alpha _ { n } x ^ { n }
UN19_1027_em_377	CORRECT	y \geq 0	y \geq 0
UN19_1007_em_90	CORRECT	\frac { c } { 3 } = \frac { 1 1 } { 1 3 }	\frac { c } { 3 } = \frac { 1 1 } { 1 3 }
UN19_1008_em_107	CORRECT	y = \frac { p } { q } x	y = \frac { p } { q } x
UN19_1030_em_426	CORRECT	\sin ( \pi x )	\sin ( \pi x )
UN19wb_1113_em_1077	CORRECT	\sqrt { - h }	\sqrt { - h }
UN19_1012_em_170	WRONG	\frac { l } { 8 }	\frac { 9 } { 8 }
UN19_1012_em_171	CORRECT	y d y	y d y
UN19wb_1118_em_1153	CORRECT	e ^ { a + 1 } - e ^ { a }	e ^ { a + 1 } - e ^ { a }
UN19wb_1115_em_1109	CORRECT	\tan \theta / 2	\tan \theta / 2
UN19_1030_em_423	CORRECT	\log \sqrt { 2 \pi }	\log \sqrt { 2 \pi }
UN19_1044_em_637	CORRECT	\frac { 4 } { 5 }	\frac { 4 } { 5 }
ISICal19_1207_em_847	CORRECT	x ^ { 7 } - x ^ { 8 }	x ^ { 7 } - x ^ { 8 }
UN19_1030_em_429	WRONG	g - n	9 - n
UN19_1051_em_745	WRONG	\frac { 1 } { 4 }	\frac { 7 } { 4 }
UN19_1022_em_310	CORRECT	\sqrt { - A }	\sqrt { - A }
UN19wb_1103_em_927	WRONG	- 0 , 9 g 9	- 0 . 9 9 9
UN19_1021_em_293	WRONG	V l , j	\forall l , j
UN19_1037_em_536	WRONG	\sum _ { a } ^ { a } a _ { a }	\sum _ { a } n _ { a }
UN19_1027_em_380	WRONG	1 \geq 3	\Delta \geq 3
UN19wb_1115_em_1101	WRONG	y ^ { i j } y ^ { k } = y ^ { i + k }	y ^ { j } y ^ { k } = y ^ { j + k }
UN19_1021_em_294	CORRECT	\sin ( x )	\sin ( x )
UN19wb_1112_em_1056	WRONG	- b _ { 2 } = b + \frac { 1 } { 2 b }	- b j _ { 2 } = b + \frac { 1 } { 2 b }
ISICal19_1201_em_763	WRONG	x ^ { 6 } , \ldots x ^ { 9 }	x ^ { 6 } \ldots x ^ { 9 }
UN19_1001_em_13	CORRECT	a ^ { 1 } a ^ { 2 } a ^ { 3 } a ^ { 4 } a ^ { 5 }	a ^ { 1 } a ^ { 2 } a ^ { 3 } a ^ { 4 } a ^ { 5 }
UN19_1019_em_267	CORRECT	\frac { 6 } { \sqrt { 3 6 0 } }	\frac { 6 } { \sqrt { 3 6 0 } }
UN19wb_1107_em_976	CORRECT	p = x \sin \theta	p = x \sin \theta
UN19wb_1104_em_942	CORRECT	\frac { - 4 } { \sqrt { 6 0 } }	\frac { - 4 } { \sqrt { 6 0 } }
UN19wb_1119_em_1163	WRONG	x B _ { 1 2 } = \tan \alpha	\lambda B _ { 1 2 } = \tan \alpha
UN19_1003_em_37	CORRECT	X _ { x y x y }	X _ { x y x y }
UN19_1032_em_453	CORRECT	x \neq 0	x \neq 0
UN19_1017_em_227	CORRECT	x ^ { 4 } - x ^ { 9 }	x ^ { 4 } - x ^ { 9 }
UN19wb_1112_em_1064	CORRECT	\alpha = \frac { 1 } { \tan \theta }	\alpha = \frac { 1 } { \tan \theta }
UN19_1018_em_251	WRONG	y = k _ { m } ( \theta / 3 )	y = \tan ( \theta / 3 )
UN19wb_1109_em_1009	WRONG	x = a ( t - t _ { 0 } ) ^ { - 1 } + p ( L - t 0 ) ^ { - 1 }	x = a ( t - t _ { 0 } ) ^ { - 1 } + p ( t - t _ { 0 } ) ^ { r - 1 }
UN19_1047_em_683	WRONG	\int d ^ { 2 } x f	\int d ^ { 2 } x F
UN19_1046_em_663	WRONG	x = \frac { 4 \pi i } { 3 } + 2 \pi i n }	x = \frac { 4 \pi i } { 3 } + 2 \pi i n
UN19_1001_em_4	WRONG	b = b _ { 0 } + b _ { 1 } + \ldots + b _ { k }	b = b _ { 0 } + b _ { 1 } + . . . + b _ { k }
UN19wb_1105_em_958	WRONG	\frac { 8 \times 5 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 }	\frac { 8 \times 5 } { 5 + 3 } = \frac { 3 5 \times 1 } { 6 + 1 }
UN19_1038_em_546	WRONG	1 . k	1 \ldots k
ISICal19_1202_em_778	CORRECT	a + \frac { 1 } { 2 } \geq 0	a + \frac { 1 } { 2 } \geq 0
UN19wb_1116_em_1110	CORRECT	\frac { 1 } { x _ { 3 } - x _ { 1 } }	\frac { 1 } { x _ { 3 } - x _ { 1 } }
ISICal19_1201_em_753	CORRECT	x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } = 1	x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } = 1
UN19_1009_em_120	CORRECT	+ \frac { 1 } { 5 }	+ \frac { 1 } { 5 }
UN19wb_1104_em_939	WRONG	x = 5 \div 2	x \div 5 \div 2
UN19_1006_em_88	CORRECT	\sqrt { 4 m }	\sqrt { 4 m }
UN19_1030_em_433	CORRECT	\sin ( \theta )	\sin ( \theta )
UN19_1010_em_145	CORRECT	w ^ { i + j } + w ^ { - j } + w ^ { - i }	w ^ { i + j } + w ^ { - j } + w ^ { - i }
UN19wb_1105_em_953	CORRECT	\frac { 2 } { 5 } = \frac { 1 } { 3 } + \frac { 1 } { 1 5 }	\frac { 2 } { 5 } = \frac { 1 } { 3 } + \frac { 1 } { 1 5 }
UN19_1023_em_327	CORRECT	6 x \neq y	6 x \neq y
UN19_1049_em_706	CORRECT	\sum C ^ { ( n ) } e ^ { B }	\sum C ^ { ( n ) } e ^ { B }
UN19_1028_em_402	CORRECT	\int d u	\int d u
UN19wb_1115_em_1100	WRONG	\lim _ { x \rightarrow + \infty } v ( x ) = 0	\lim _ { x \rightarrow \pm \infty } V ( x ) = 0
ISICal19_1211_em_896	WRONG	( - b x - c x ^ { 2 } \neq 0	1 - b x - c x ^ { 2 } \neq 0
UN19_1008_em_108	CORRECT	[ a ] + \frac { 1 } { 2 } [ b ]	[ a ] + \frac { 1 } { 2 } [ b ]
UN19_1029_em_412	CORRECT	5 \times 5	5 \times 5
UN19wb_1102_em_906	CORRECT	\frac { n } { 2 } + \frac { 7 } { 2 }	\frac { n } { 2 } + \frac { 7 } { 2 }
ISICal19_1206_em_825	CORRECT	( \frac { 5 } { 7 } , \frac { 5 } { 7 } )	( \frac { 5 } { 7 } , \frac { 5 } { 7 } )
UN19_1027_em_379	CORRECT	\lim \sqrt { x }	\lim \sqrt { x }
UN19_1011_em_160	CORRECT	k _ { a } \neq k _ { b } \neq k _ { c }	k _ { a } \neq k _ { b } \neq k _ { c }
UN19_1024_em_336	CORRECT	1 + 5 + 7	1 + 5 + 7
UN19wb_1117_em_1137	WRONG	\frac { i } { k + i } = 1 - \frac { k } { k + i } }	\frac { i } { k + i } = 1 - \frac { k } { k + i }
UN19_1018_em_254	WRONG	- 9 , 9 5 9 9	- 9 . 9 5 9 9
UN19wb_1119_em_1169	WRONG	A = \sum _ { a } A ^ { a } + a	A = \sum _ { a } A ^ { a } t ^ { a }
UN19wb_1109_em_1019	WRONG	s ^ { 2 } \times s ^ { 2 } \times s ^ { 2 } \times s ^ { 2 }	S ^ { 2 } \times S ^ { 2 } \times S ^ { 2 } \times S ^ { 2 }
UN19wb_1109_em_1013	WRONG	( x _ { 2 } x _ { 3 } x _ { 3 } x _ { 4 } x _ { 4 } )	( x _ { 1 2 } x _ { 2 3 } x _ { 3 4 } x _ { 4 1 } )
UN19wb_1115_em_1096	CORRECT	e ^ { - \alpha \sqrt { 1 - e ^ { 2 } } x ^ { 0 } }	e ^ { - \alpha \sqrt { 1 - e ^ { 2 } } x ^ { 0 } }
UN19_1003_em_30	CORRECT	n = - 1 + \sqrt { 1 5 }	n = - 1 + \sqrt { 1 5 }
UN19_1031_em_444	WRONG	x = \frac { 2 \pi } { \sqrt { 2 } } ( m + \frac { 1 } { 2 } )	x = \frac { 2 \pi } { \sqrt { 2 } } ( n + \frac { 1 } { 2 } )
UN19_1033_em_472	CORRECT	C + q y	C + q y
UN19wb_1111_em_1039	WRONG	9 \times 9 + 1 3 + 1 3 - ( 3 + 1 ) = 2 4 3	9 \times 9 + 1 3 \times 1 3 - ( 3 + 3 + 1 ) = 2 4 3
UN19_1015_em_203	CORRECT	\sin ( \theta ) \neq 0	\sin ( \theta ) \neq 0
UN19_1025_em_347	WRONG	\int \limits _ { a } ^ { b } \int n o	\int \limits _ { a } ^ { b } a _ { 0 }
UN19wb_1112_em_1058	CORRECT	h \rightarrow h h	h \rightarrow h h
UN19_1047_em_677	CORRECT	M = \sqrt { \frac { 2 } { c } }	M = \sqrt { \frac { 2 } { c } }
UN19_1024_em_342	WRONG	\sqrt { \frac { 8 } { 3 }	\sqrt { \frac { 8 } { 3 } }
UN19_1008_em_115	WRONG	x _ { u } = v _ { x } = x p ^ { - 1 } x	x u = v x = x p ^ { - 1 } x
UN19wb_1118_em_1140	CORRECT	f ( y ) = y ^ { \frac { 1 } { n - 2 } }	f ( y ) = y ^ { \frac { 1 } { n - 2 } }
UN19_1025_em_354	WRONG	Y = \sqrt { y _ { i } y ^ { i } }	y = \sqrt { y _ { i } y ^ { i } }
UN19_1029_em_407	WRONG	u ^ { n + 1 } = \cos r	u ^ { n + 1 } = \cos { r }
ISICal19_1207_em_845	CORRECT	\sin \theta = \frac { 1 1 9 } { 1 2 0 }	\sin \theta = \frac { 1 1 9 } { 1 2 0 }
UN19wb_1107_em_978	CORRECT	\beta = \sqrt { 1 + b }	\beta = \sqrt { 1 + b }
UN19_1030_em_420	WRONG	\tan \theta = 0	\tan { \theta } = 0
UN19_1042_em_601	CORRECT	x + i y	x + i y
UN19_1036_em_514	CORRECT	\frac { 1 } { \sqrt { N } }	\frac { 1 } { \sqrt { N } }
ISICal19_1209_em_864	CORRECT	\int d z	\int d z
UN19_1002_em_21	CORRECT	M \rightarrow \frac { M } { \sqrt { c } }	M \rightarrow \frac { M } { \sqrt { c } }
UN19_1048_em_695	WRONG	s ( u ) = \frac { \sin ( u ) } { \sin ( n ) ) }	s ( u ) = \frac { \sin ( u ) } { \sin ( \lambda ) }
UN19wb_1104_em_937	WRONG	s _ { b } c = \frac { 1 } { 2 } ( x C	s _ { b } C = \frac { 1 } { 2 } C \times C
UN19_1039_em_559	WRONG	2 \geq \frac { 9 } { 8 }	z \geq \frac { 9 } { 8 }
ISICal19_1201_em_756	WRONG	\frac { ( 3 + z ^ { 2 } } { 3 + z ^ { 2 } ) ( 7 + 2 ^ { 2 } ) } { 2 }	\frac { ( 3 + z ^ { 2 } ) ( 7 + z ^ { 2 } ) } { 3 2 }
ISICal19_1211_em_886	CORRECT	- x _ { 0 } \leq x \leq x _ { 0 }	- x _ { 0 } \leq x \leq x _ { 0 }
ISICal19_1202_em_765	WRONG	x ^ { 1 } y ^ { 2 } x ^ { 3 }	x ^ { 1 } y ^ { 1 } x ^ { 3 }
UN19_1025_em_346	CORRECT	\frac { 1 } { x + i 0 }	\frac { 1 } { x + i 0 }
UN19_1051_em_749	CORRECT	\sin ^ { 2 } \alpha	\sin ^ { 2 } \alpha
UN19_1038_em_550	CORRECT	\sqrt { 1 + t }	\sqrt { 1 + t }
UN19_1042_em_603	CORRECT	1 ^ { + 3 } + 1 ^ { - 3 }	1 ^ { + 3 } + 1 ^ { - 3 }
UN19wb_1114_em_1088	CORRECT	y = y _ { b } - y _ { a }	y = y _ { b } - y _ { a }
UN19wb_1112_em_1060	CORRECT	\sum A _ { i }	\sum A _ { i }
UN19_1026_em_368	CORRECT	a = c b ^ { - 1 } - b a b ^ { - 1 }	a = c b ^ { - 1 } - b a b ^ { - 1 }
ISICal19_1203_em_782	CORRECT	a = 4 ( \frac { 1 } { 4 } - \frac { 3 } { 8 } )	a = 4 ( \frac { 1 } { 4 } - \frac { 3 } { 8 } )
UN19_1045_em_650	CORRECT	\sqrt { y ^ { 2 } } = y	\sqrt { y ^ { 2 } } = y
UN19_1021_em_290	WRONG	\sin ^ { 2 } \theta \leq 1	\sin ^ { 2 } { \theta } \leq 1
UN19wb_1110_em_1028	CORRECT	b _ { n } = \lim _ { \alpha \rightarrow 0 } b _ { n - \alpha }	b _ { n } = \lim _ { \alpha \rightarrow 0 } b _ { n - \alpha }
UN19_1048_em_693	CORRECT	y = \pm \sqrt { - u }	y = \pm \sqrt { - u }
UN19wb_1112_em_1061	CORRECT	\sqrt { m n }	\sqrt { m n }
UN19wb_1114_em_1080	CORRECT	P f	P f
UN19wb_1118_em_1145	CORRECT	\int d ^ { 4 } x \sqrt { g }	\int d ^ { 4 } x \sqrt { g }
UN19_1021_em_296	CORRECT	\sin ( n z )	\sin ( n z )
UN19wb_1121_em_1186	CORRECT	\sin x _ { i } , \cos x _ { i }	\sin x _ { i } , \cos x _ { i }
ISICal19_1203_em_785	WRONG	2 x - \frac { 2 x } { 3 } = \frac { 4 \pi } { 3 }	2 \pi - \frac { 2 \pi } { 3 } = \frac { 4 \pi } { 3 }
UN19_1050_em_730	WRONG	2 5 ^ { 5 } \sqrt { 2 ^ { - 2 1 } 3 ^ { 2 } }	2 5 \sqrt [ 5 ] { 2 ^ { - 2 1 } 3 ^ { 8 } }
ISICal19_1209_em_865	WRONG	\sqrt { g _ { y } }	\sqrt { g _ { y y } }
UN19wb_1119_em_1157	CORRECT	x ^ { 2 } + y ^ { 2 } + z ^ { k + 1 }	x ^ { 2 } + y ^ { 2 } + z ^ { k + 1 }
UN19_1010_em_139	CORRECT	\beta = \sqrt { \beta _ { a } \beta ^ { a } }	\beta = \sqrt { \beta _ { a } \beta ^ { a } }
UN19_1037_em_537	CORRECT	\int c _ { 2 }	\int c _ { 2 }
UN19wb_1113_em_1073	WRONG	\sqrt { n } + \sqrt { s } \geq 1	\sqrt { r } + \sqrt { s } \geq 1
UN19wb_1116_em_1121	CORRECT	\lim _ { r \rightarrow 0 } f ( r ) = \sqrt { r }	\lim _ { r \rightarrow 0 } f ( r ) = \sqrt { r }
UN19_1018_em_243	CORRECT	- \frac { 5 7 1 } { 4 5 }	- \frac { 5 7 1 } { 4 5 }
UN19_1041_em_593	CORRECT	\frac { n } { 8 }	\frac { n } { 8 }
ISICal19_1202_em_770	CORRECT	\cos \beta _ { n } x	\cos \beta _ { n } x
UN19_1036_em_519	WRONG	T = \lim _ { u \rightarrow \infty } u _ { u } y	T = \lim _ { u \rightarrow \infty } u z
UN19_1001_em_11	CORRECT	9 \div 5 \div x	9 \div 5 \div x
UN19_1011_em_151	WRONG	a ( 3 ) = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 }	a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 }
UN19wb_1108_em_990	WRONG	\sum _ { x } ^ { x } d x = 7 2 0	\sum _ { x } d _ { x } = 7 2 0
ISICal19_1206_em_837	WRONG	\frac { n ( 2 n - 1 ) ( 2 n + 1 ) ( 2 n + 1 ) } { 3 }	\frac { n ( 2 n - 1 ) ( 2 n + 1 ) } { 3 }
ISICal19_1203_em_789	WRONG	4 4 = \frac { q ( 9 + 1 ) } { 2 } - 1	4 4 = \frac { 9 ( 9 + 1 ) } { 2 } - 1
ISICal19_1201_em_751	WRONG	x ^ { x } = ( a x + b ) ( c x + d ) ^ { - 1 }	x ^ { \prime } = ( a x + b ) ( c x + d ) ^ { - 1 }
UN19_1006_em_78	CORRECT	\frac { 3 5 } { 5 2 8 }	\frac { 3 5 } { 5 2 8 }
UN19wb_1121_em_1197	WRONG	\tan ( 2 a ) = ( f _ { x y } / f _ { x } )	\tan ( 2 a ) = ( f _ { x y } / f _ { x x } )
UN19wb_1112_em_1051	CORRECT	\frac { 1 } { 8 } ( n ^ { 2 } + 5 n + 8 )	\frac { 1 } { 8 } ( n ^ { 2 } + 5 n + 8 )
UN19_1035_em_508	WRONG	\sqrt { i n ( x ) }	\sqrt { i r ( x ) }
UN19_1015_em_201	WRONG	( \int e l )	( \int e ^ { f } )
UN19_1045_em_653	CORRECT	\frac { 1 } { 2 } - \sin ^ { 2 } \alpha	\frac { 1 } { 2 } - \sin ^ { 2 } \alpha
UN19_1038_em_553	WRONG	0 \in X	o \in X
UN19_1031_em_438	CORRECT	g = q \tan \theta	g = q \tan \theta
UN19_1040_em_580	WRONG	\sqrt { \frac { 1 } { a }	\sqrt { \frac { 1 } { a } }
UN19_1029_em_416	WRONG	f _ { a t } = \frac { x - 1 } { x + 1 }	f _ { r a t } = \frac { x - 1 } { x + 1 }
UN19wb_1116_em_1119	CORRECT	F ( x ) = x ( 1 + \frac { x } { a } )	F ( x ) = x ( 1 + \frac { x } { a } )
UN19wb_1121_em_1185	CORRECT	V = a ^ { n } \int d ^ { n } x \sqrt { g }	V = a ^ { n } \int d ^ { n } x \sqrt { g }
UN19wb_1108_em_1003	WRONG	- b _ { i 1 } = b _ { 1 } + b + \frac { 1 } { 2 b }	- b j _ { 2 1 } = b j _ { 1 } + b + \frac { 1 } { 2 b }
UN19wb_1107_em_986	WRONG	\sin ^ { 2 } x + \cos ^ { 2 } x = 1	\sin ^ { 2 } { x } + \cos ^ { 2 } { x } = 1
UN19wb_1115_em_1095	WRONG	6 4 x ^ { 0 } - 8 0 x ^ { 4 } + 2 4 x ^ { 2 } - 1	6 4 x ^ { 6 } - 8 0 x ^ { 4 } + 2 4 x ^ { 2 } - 1
UN19_1026_em_366	CORRECT	x ^ { 3 } , x ^ { 4 } , x ^ { 5 } , x ^ { 7 } , x ^ { 8 } , x ^ { 9 }	x ^ { 3 } , x ^ { 4 } , x ^ { 5 } , x ^ { 7 } , x ^ { 8 } , x ^ { 9 }
UN19_1029_em_414	WRONG	6 = \sin + \sin x	G = \sin t \sin x
UN19_1048_em_702	CORRECT	x ^ { n - 1 } + x y ^ { 2 } + z ^ { 2 }	x ^ { n - 1 } + x y ^ { 2 } + z ^ { 2 }
UN19wb_1113_em_1074	CORRECT	\sqrt { T } y ( t )	\sqrt { T } y ( t )
UN19_1007_em_92	CORRECT	\sin ^ { n } ( t - t _ { 0 } )	\sin ^ { n } ( t - t _ { 0 } )
UN19_1041_em_597	CORRECT	- \sqrt { 2 }	- \sqrt { 2 }
UN19wb_1114_em_1081	WRONG	\sin ^ { 2 } y	\sin ^ { 2 } { y }
UN19_1012_em_175	CORRECT	3 0 \div 2 0	3 0 \div 2 0
UN19_1020_em_272	CORRECT	+ \sqrt { p - 1 }	+ \sqrt { p - 1 }
UN19wb_1115_em_1105	WRONG	0 k a ^ { - 1 } b ^ { - 1 }	a b a ^ { - 1 } b ^ { - 1 }
UN19_1036_em_517	CORRECT	x = \pm \frac { a } { 2 }	x = \pm \frac { a } { 2 }
UN19wb_1114_em_1090	WRONG	x _ { a b } = x _ { a } + x _ { b } - x _ { c }	x _ { a b c } = x _ { a } + x _ { b } - x _ { c }
UN19_1047_em_684	CORRECT	( - x ) ^ { - a } \log x	( - x ) ^ { - a } \log x
UN19wb_1107_em_984	WRONG	z ^ { - n } e ^ { - \frac { m } { \gamma } + \ldots	z ^ { - n } e ^ { - \frac { m } { z } } + \ldots
ISICal19_1201_em_755	WRONG	g ( x ) = \beta _ { a } x ^ { a } x ^ { b }	g ( x ) = \beta _ { a b } x ^ { a } x ^ { b }
UN19_1010_em_140	WRONG	\frac { r _ { 1 } } { \sin \theta _ { 1 } } = \frac { n _ { 2 } } { \sin \theta _ { 2 } }	\frac { n _ { 1 } } { \sin \theta _ { 1 } } = \frac { n _ { 2 } } { \sin \theta _ { 2 } }
UN19_1006_em_83	WRONG	\lim _ { L \rightarrow \infty } a _ { n } L ^ { 2 }	\lim _ { L \rightarrow \infty } a _ { \pi } L ^ { 2 }
ISICal19_1211_em_898	CORRECT	\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 }	\frac { \sqrt { A } } { \alpha } - \frac { 1 } { 2 }
UN19_1049_em_705	CORRECT	4 \pi ^ { 4 } \int a ^ { 3 } b ^ { 3 } d t	4 \pi ^ { 4 } \int a ^ { 3 } b ^ { 3 } d t
UN19_1042_em_608	WRONG	\frac { L } { \sqrt { 6 0 } }	\frac { 6 } { \sqrt { 6 0 } }
UN19_1037_em_539	CORRECT	\lim o ( n )	\lim o ( n )
UN19wb_1103_em_919	WRONG	X ( t ) = \sum _ { n } ^ { n } X _ { n }	X ( t ) = \sum _ { n } t ^ { n } X _ { n }
UN19wb_1108_em_991	WRONG	X = 0 , 1 , 0 . 7	X = 0 . 1 , 0 . 2 \ldots
UN19_1045_em_657	CORRECT	+ 7 + 8 + 1 1	+ 7 + 8 + 1 1
UN19wb_1118_em_1154	WRONG	\lim _ { x \rightarrow \infty } \frac { p ( \frac { i ^ { k } } { k } )	\lim _ { x \rightarrow \pm \infty } P ( \frac { e ^ { i k x } } { k } )
UN19_1022_em_306	CORRECT	x = \frac { e ^ { c r } } { a c }	x = \frac { e ^ { c r } } { a c }
UN19_1050_em_734	CORRECT	a = \sqrt { \frac { 1 + \sqrt { 1 + 1 2 p } } { 6 p } }	a = \sqrt { \frac { 1 + \sqrt { 1 + 1 2 p } } { 6 p } }
UN19_1009_em_124	WRONG	\int \theta = 0	\int b = 0
UN19_1031_em_447	WRONG	\alpha = \frac { 1 } { 2 b } - \frac { b } { 2 }	\alpha = \frac 1 { 2 b } - \frac { b } { 2 }
UN19_1018_em_249	WRONG	f = - i \sum _ { n } ^ { n } m _ { n } z ^ { n + 1 }	f = - i \sum _ { n } u _ { n } z ^ { - n + 1 }
UN19_1041_em_590	CORRECT	b \neq h	b \neq h
UN19_1039_em_564	WRONG	\gamma = \tan ^ { 2 } t	r = \tan ^ { 2 } t
UN19_1040_em_578	CORRECT	1 + 1 + 1 + 1	1 + 1 + 1 + 1
UN19_1026_em_365	WRONG	q _ { 1 } + q _ { 2 } + q 3 + q 4 = 2	q _ { 1 } + q _ { 2 } + q _ { 3 } + q _ { 4 } = 2
UN19_1042_em_609	CORRECT	\int C ^ { ( p + 1 ) }	\int C ^ { ( p + 1 ) }
UN19wb_1104_em_938	CORRECT	\frac { 1 } { 2 \sqrt { 3 } }	\frac { 1 } { 2 \sqrt { 3 } }
UN19_1013_em_187	CORRECT	b y a	b y a
ISICal19_1209_em_868	WRONG	- q _ { n } g 1 9 g	- 9 . 9 1 9 9
ISICal19_1204_em_797	CORRECT	b \geq \frac { 1 } { a - 1 }	b \geq \frac { 1 } { a - 1 }
UN19_1007_em_91	CORRECT	( \frac { 1 } { 3 } + \frac { 5 } { 2 \pi ^ { 2 } n ^ { 2 } } )	( \frac { 1 } { 3 } + \frac { 5 } { 2 \pi ^ { 2 } n ^ { 2 } } )
